shape,columns,is_bad,deficient_samples,full_child_blocks_level_0,full_child_blocks_level_1,full_child_blocks_level_2,sibling_groups_level_1,sibling_groups_level_2,sibling_groups_level_3,dead_sibling_groups_level_1,dead_sibling_groups_level_2,dead_sibling_groups_level_3,one_live_sibling_groups_level_1,one_live_sibling_groups_level_2,one_live_sibling_groups_level_3,singleton_groups_level_1,singleton_groups_level_2,singleton_groups_level_3,zero_singleton_groups_level_1,zero_singleton_groups_level_2,zero_singleton_groups_level_3
154,0:1:4:5:6:7:22:36:50,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
155,0:1:4:5:6:7:23:37:51,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
156,0:1:4:5:6:7:24:38:52,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
157,0:1:4:5:6:7:25:39:53,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
158,0:1:4:5:6:7:26:40:54,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
159,0:1:4:5:6:7:27:41:55,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
160,0:1:4:5:6:7:28:42:56,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
161,0:1:4:5:6:7:29:43:57,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
162,0:1:4:5:6:7:30:44:58,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
163,0:1:4:5:6:7:31:45:59,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
164,0:1:4:5:6:7:32:46:60,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
165,0:1:4:5:6:7:33:47:61,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
166,0:1:4:5:6:7:34:48:62,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
167,0:1:4:5:6:7:35:49:63,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
168,2:3:4:5:6:7:8:22:36,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
169,2:3:4:5:6:7:8:22:50,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
170,2:3:4:5:6:7:8:36:50,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
171,2:3:4:5:6:7:9:23:37,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
172,2:3:4:5:6:7:9:23:51,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
173,2:3:4:5:6:7:9:37:51,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
174,2:3:4:5:6:7:10:24:38,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
175,2:3:4:5:6:7:10:24:52,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
176,2:3:4:5:6:7:10:38:52,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
177,2:3:4:5:6:7:11:25:39,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
178,2:3:4:5:6:7:11:25:53,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
179,2:3:4:5:6:7:11:39:53,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
180,2:3:4:5:6:7:12:26:40,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
181,2:3:4:5:6:7:12:26:54,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
182,2:3:4:5:6:7:12:40:54,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
183,2:3:4:5:6:7:13:27:41,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
184,2:3:4:5:6:7:13:27:55,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
185,2:3:4:5:6:7:13:41:55,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
186,2:3:4:5:6:7:14:28:42,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
187,2:3:4:5:6:7:14:28:56,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
